seq,road_id,edges,road_no,partition
306,316,[np.float64(316.0)],40,0
307,317,"[np.float64(317.0), np.float64(317.0)]",14,3
308,360,"[np.float64(360.0), np.float64(360.0)]",58,2
309,318,"[np.float64(318.0), np.float64(318.0)]",27,0
310,319,[np.float64(319.0)],3,0
311,320,[np.float64(320.0)],3,0
312,321,[np.float64(321.0)],34,0
313,322,[np.float64(322.0)],52,2
314,323,"[np.float64(323.0), np.float64(323.0)]",74,0
315,324,[np.float64(324.0)],3,0
316,325,[np.float64(325.0)],32,0
317,326,[np.float64(326.0)],3,0
318,327,[np.float64(327.0)],30,0
319,328,[np.float64(328.0)],27,2
320,329,[np.float64(329.0)],46,2
321,330,[np.float64(330.0)],29,2
322,331,"[np.float64(331.0), np.float64(331.0)]",36,3
323,332,"[np.float64(332.0), np.float64(332.0)]",72,3
324,333,"[np.float64(333.0), np.float64(333.0)]",36,0
325,334,[np.float64(334.0)],34,0
326,336,"[np.float64(336.0), np.float64(336.0)]",11,3
327,338,[np.float64(338.0)],56,2
328,339,"[np.float64(339.0), np.float64(339.0)]",18,3
329,341,[np.float64(341.0)],27,2
330,342,[np.float64(342.0)],50,2
331,345,"[np.float64(345.0), np.float64(345.0)]",23,3
332,346,[np.float64(346.0)],27,2
333,347,"[np.float64(347.0), np.float64(347.0)]",16,3
334,348,[np.float64(348.0)],27,2
335,349,[np.float64(349.0)],4,2
336,350,"[np.float64(350.0), np.float64(350.0)]",11,3
337,351,[np.float64(351.0)],14,3
338,352,[np.float64(352.0)],44,2
339,353,"[np.float64(353.0), np.float64(353.0)]",1,3
340,355,[np.float64(355.0)],14,2
341,356,"[np.float64(356.0), np.float64(356.0)]",23,0
342,357,"[np.float64(357.0), np.float64(357.0)]",38,0
343,358,[np.float64(358.0)],27,2
344,359,"[np.float64(359.0), np.float64(359.0)]",21,3
345,361,[np.float64(361.0)],23,0
346,363,"[np.float64(363.0), np.float64(363.0)]",66,0
347,364,[np.float64(364.0)],30,0
348,365,[np.float64(365.0)],59,0
349,366,[np.float64(366.0)],1,3
350,367,[np.float64(367.0)],21,3
351,368,[np.float64(368.0)],36,3
352,369,"[np.float64(369.0), np.float64(369.0)]",1,0
353,370,[np.float64(370.0)],18,3
354,371,[np.float64(371.0)],66,0
355,372,"[np.float64(372.0), np.float64(372.0)]",6,3
356,373,[np.float64(373.0)],59,0
357,374,"[np.float64(374.0), np.float64(374.0)]",44,0
358,375,[np.float64(375.0)],40,0
359,376,[np.float64(376.0)],4,0
360,377,"[np.float64(377.0), np.float64(377.0)]",42,0
361,378,"[np.float64(378.0), np.float64(378.0)]",5,3
362,379,[np.float64(379.0)],2,3
363,380,[np.float64(380.0)],56,2
364,381,"[np.float64(381.0), np.float64(381.0)]",3,3
365,382,[np.float64(382.0)],1,3
366,383,[np.float64(383.0)],1,0
367,416,[np.float64(416.0)],35,2
368,384,[np.float64(384.0)],26,0
369,385,"[np.float64(385.0), np.float64(385.0)]",64,0
370,386,[np.float64(386.0)],29,0
371,387,[np.float64(387.0)],40,0
372,388,"[np.float64(388.0), np.float64(388.0)]",8,3
373,389,[np.float64(389.0)],41,2
374,390,[np.float64(390.0)],4,2
375,391,[np.float64(391.0)],46,2
376,392,[np.float64(392.0)],35,2
377,393,"[np.float64(393.0), np.float64(393.0)]",2,3
378,394,"[np.float64(394.0), np.float64(394.0)]",4,3
379,395,[np.float64(395.0)],1,0
380,396,[np.float64(396.0)],2,0
381,397,[np.float64(397.0)],41,2
382,398,[np.float64(398.0)],62,2
383,400,[np.float64(400.0)],29,0
384,401,[np.float64(401.0)],73,0
385,402,[np.float64(402.0)],1,0
386,403,[np.float64(403.0)],4,0
387,404,[np.float64(404.0)],41,2
388,405,[np.float64(405.0)],60,2
389,406,[np.float64(406.0)],35,2
390,407,[np.float64(407.0)],56,2
391,408,[np.float64(408.0)],41,2
392,409,"[np.float64(409.0), np.float64(409.0)]",9,3
393,410,"[np.float64(410.0), np.float64(410.0)]",10,3
394,411,[np.float64(411.0)],29,0
395,412,[np.float64(412.0)],8,3
396,413,[np.float64(413.0)],35,2
397,414,[np.float64(414.0)],29,0
398,415,[np.float64(415.0)],30,0
399,417,[np.float64(417.0)],36,3
400,418,[np.float64(418.0)],7,3
401,419,[np.float64(419.0)],18,3
402,420,[np.float64(420.0)],1,0
403,421,[np.float64(421.0)],24,0
404,422,[np.float64(422.0)],35,2
405,423,[np.float64(423.0)],50,2
406,424,[np.float64(424.0)],40,0
407,425,[np.float64(425.0)],1,0
408,426,[np.float64(426.0)],35,2
409,427,"[np.float64(427.0), np.float64(427.0)]",50,3
410,429,[np.float64(429.0)],1,0
411,430,"[np.float64(430.0), np.float64(430.0)]",60,0
412,431,"[np.float64(431.0), np.float64(431.0)]",42,3
413,432,"[np.float64(432.0), np.float64(432.0)]",40,3
414,433,"[np.float64(433.0), np.float64(433.0)]",12,3
415,434,[np.float64(434.0)],19,3
416,435,[np.float64(435.0)],35,2
417,436,"[np.float64(436.0), np.float64(436.0)]",34,3
418,437,[np.float64(437.0)],35,2
419,438,"[np.float64(438.0), np.float64(438.0)]",66,3
420,439,"[np.float64(439.0), np.float64(439.0)]",32,3
421,440,[np.float64(440.0)],1,0
422,441,[np.float64(441.0)],56,0
423,442,[np.float64(442.0)],19,3
424,443,[np.float64(443.0)],18,3
425,571,[np.float64(571.0)],84,3
426,444,[np.float64(444.0)],30,0
427,445,[np.float64(445.0)],25,3
428,446,"[np.float64(446.0), np.float64(446.0)]",17,3
429,447,"[np.float64(447.0), np.float64(447.0)]",25,3
430,448,[np.float64(448.0)],24,3
431,449,"[np.float64(449.0), np.float64(449.0)]",30,3
432,450,[np.float64(450.0)],19,0
433,451,[np.float64(451.0)],26,0
434,452,[np.float64(452.0)],2,0
435,453,[np.float64(453.0)],56,0
436,454,"[np.float64(454.0), np.float64(454.0)]",28,0
437,455,[np.float64(455.0)],30,0
438,456,[np.float64(456.0)],61,0
439,457,"[np.float64(457.0), np.float64(457.0)]",19,0
440,458,"[np.float64(458.0), np.float64(458.0)]",21,0
441,459,"[np.float64(459.0), np.float64(459.0)]",15,0
442,460,"[np.float64(460.0), np.float64(460.0)]",22,0
443,461,[np.float64(461.0)],39,2
444,462,[np.float64(462.0)],46,2
445,463,[np.float64(463.0)],5,0
446,464,[np.float64(464.0)],15,0
447,465,[np.float64(465.0)],24,0
448,467,[np.float64(467.0)],61,0
449,468,[np.float64(468.0)],73,0
450,469,[np.float64(469.0)],15,0
451,470,[np.float64(470.0)],40,0
452,471,[np.float64(471.0)],39,2
453,472,[np.float64(472.0)],50,2
454,473,[np.float64(473.0)],15,0
455,474,[np.float64(474.0)],50,3
456,475,"[np.float64(475.0), np.float64(475.0)]",15,3
457,476,[np.float64(476.0)],50,3
458,477,[np.float64(477.0)],15,0
459,478,[np.float64(478.0)],56,0
460,479,"[np.float64(479.0), np.float64(479.0)]",18,0
461,481,[np.float64(481.0)],15,3
462,483,[np.float64(483.0)],66,3
463,487,[np.float64(487.0)],15,0
464,489,[np.float64(489.0)],15,3
465,491,[np.float64(491.0)],18,0
466,492,[np.float64(492.0)],46,2
467,493,[np.float64(493.0)],51,0
468,494,[np.float64(494.0)],32,3
469,495,[np.float64(495.0)],68,0
470,496,"[np.float64(496.0), np.float64(496.0)]",70,0
471,497,[np.float64(497.0)],15,3
472,498,[np.float64(498.0)],2,0
473,556,[np.float64(556.0)],13,3
474,499,"[np.float64(499.0), np.float64(499.0)]",17,0
475,500,[np.float64(500.0)],15,3
476,501,[np.float64(501.0)],18,3
477,502,"[np.float64(502.0), np.float64(502.0)]",20,0
478,503,[np.float64(503.0)],11,0
479,504,"[np.float64(504.0), np.float64(504.0)]",33,2
480,505,[np.float64(505.0)],15,3
481,506,"[np.float64(506.0), np.float64(506.0)]",26,3
482,507,[np.float64(507.0)],70,0
483,570,[np.float64(570.0)],13,0
484,508,"[np.float64(508.0), np.float64(508.0)]",14,0
485,509,[np.float64(509.0)],5,0
486,510,"[np.float64(510.0), np.float64(510.0)]",15,3
487,511,"[np.float64(511.0), np.float64(511.0)]",62,3
488,512,[np.float64(512.0)],24,3
489,513,"[np.float64(513.0), np.float64(513.0)]",13,0
490,514,"[np.float64(514.0), np.float64(514.0)]",12,0
491,515,[np.float64(515.0)],11,0
492,516,"[np.float64(516.0), np.float64(516.0)]",35,3
493,517,"[np.float64(517.0), np.float64(517.0)]",31,3
494,518,[np.float64(518.0)],53,0
495,519,[np.float64(519.0)],51,0
496,520,"[np.float64(520.0), np.float64(520.0)]",55,0
497,521,[np.float64(521.0)],40,0
498,522,[np.float64(522.0)],35,3
499,523,[np.float64(523.0)],35,3
500,524,[np.float64(524.0)],84,3
501,525,[np.float64(525.0)],9,0
502,526,"[np.float64(526.0), np.float64(526.0)]",6,0
503,527,[np.float64(527.0)],53,0
504,557,[np.float64(557.0)],13,3
505,599,[np.float64(599.0)],41,3
506,528,[np.float64(528.0)],68,0
507,529,"[np.float64(529.0), np.float64(529.0)]",33,3
508,530,[np.float64(530.0)],50,3
509,531,[np.float64(531.0)],51,0
510,532,"[np.float64(532.0), np.float64(532.0)]",45,3
511,533,"[np.float64(533.0), np.float64(533.0)]",78,3
512,534,[np.float64(534.0)],53,0
513,568,[np.float64(568.0)],13,3
514,535,[np.float64(535.0)],70,0
515,536,[np.float64(536.0)],43,2
516,537,"[np.float64(537.0), np.float64(537.0)]",80,3
517,538,[np.float64(538.0)],45,3
518,539,"[np.float64(539.0), np.float64(539.0)]",7,0
519,540,[np.float64(540.0)],16,0
520,541,[np.float64(541.0)],31,3
521,542,[np.float64(542.0)],13,3
522,543,"[np.float64(543.0), np.float64(543.0)]",37,3
523,544,[np.float64(544.0)],13,3
524,545,[np.float64(545.0)],16,0
525,546,"[np.float64(546.0), np.float64(546.0)]",86,3
526,547,[np.float64(547.0)],13,3
527,548,[np.float64(548.0)],69,0
528,549,"[np.float64(549.0), np.float64(549.0)]",20,3
529,550,"[np.float64(550.0), np.float64(550.0)]",58,3
530,551,"[np.float64(551.0), np.float64(551.0)]",56,3
531,552,[np.float64(552.0)],13,0
532,553,[np.float64(553.0)],54,0
533,554,[np.float64(554.0)],13,0
534,555,"[np.float64(555.0), np.float64(555.0)]",58,0
535,558,"[np.float64(558.0), np.float64(558.0)]",22,3
536,559,[np.float64(559.0)],13,0
537,560,[np.float64(560.0)],50,3
538,565,[np.float64(565.0)],10,0
539,566,"[np.float64(566.0), np.float64(566.0)]",8,0
540,567,"[np.float64(567.0), np.float64(567.0)]",28,3
541,572,[np.float64(572.0)],51,0
542,573,"[np.float64(573.0), np.float64(573.0)]",64,3
543,574,[np.float64(574.0)],80,3
544,575,"[np.float64(575.0), np.float64(575.0)]",39,3
545,576,[np.float64(576.0)],78,3
546,577,[np.float64(577.0)],58,0
547,578,[np.float64(578.0)],84,3
548,579,[np.float64(579.0)],80,3
549,580,[np.float64(580.0)],47,0
550,581,[np.float64(581.0)],16,0
551,582,"[np.float64(582.0), np.float64(582.0)]",60,3
552,583,[np.float64(583.0)],41,3
553,584,[np.float64(584.0)],80,3
554,585,[np.float64(585.0)],47,0
555,586,[np.float64(586.0)],47,0
556,587,[np.float64(587.0)],47,0
557,588,[np.float64(588.0)],43,0
558,589,[np.float64(589.0)],60,3
559,590,[np.float64(590.0)],47,0
560,591,[np.float64(591.0)],29,3
561,592,[np.float64(592.0)],50,3
562,596,[np.float64(596.0)],43,0
563,598,[np.float64(598.0)],8,0
564,600,[np.float64(600.0)],16,0
565,602,[np.float64(602.0)],40,0
566,604,[np.float64(604.0)],29,3
567,606,[np.float64(606.0)],20,3
568,607,[np.float64(607.0)],29,3
569,608,[np.float64(608.0)],29,3
570,707,"[np.float64(707.0), np.float64(707.0)]",56,1
571,609,[np.float64(609.0)],71,0
572,610,[np.float64(610.0)],71,0
573,611,[np.float64(611.0)],52,3
574,612,[np.float64(612.0)],71,0
575,613,[np.float64(613.0)],68,0
576,614,"[np.float64(614.0), np.float64(614.0)]",45,0
577,615,"[np.float64(615.0), np.float64(615.0)]",74,3
578,616,[np.float64(616.0)],45,0
579,618,[np.float64(618.0)],71,0
580,620,[np.float64(620.0)],70,0
581,621,[np.float64(621.0)],27,3
582,623,[np.float64(623.0)],40,0
583,624,[np.float64(624.0)],69,0
584,625,[np.float64(625.0)],52,3
585,626,"[np.float64(626.0), np.float64(626.0)]",76,3
586,627,"[np.float64(627.0), np.float64(627.0)]",46,3
587,628,[np.float64(628.0)],27,3
588,629,"[np.float64(629.0), np.float64(629.0)]",82,3
589,630,[np.float64(630.0)],69,0
590,631,[np.float64(631.0)],27,3
591,662,[np.float64(662.0)],27,3
592,665,[np.float64(665.0)],3,1
593,632,"[np.float64(632.0), np.float64(632.0)]",67,0
594,634,[np.float64(634.0)],69,0
595,637,[np.float64(637.0)],52,3
596,708,[np.float64(708.0)],49,1
597,638,"[np.float64(638.0), np.float64(638.0)]",54,3
598,639,[np.float64(639.0)],27,3
599,640,[np.float64(640.0)],50,3
600,641,"[np.float64(641.0), np.float64(641.0)]",65,0
601,642,"[np.float64(642.0), np.float64(642.0)]",48,3
602,643,[np.float64(643.0)],43,3
603,644,[np.float64(644.0)],27,3
